"A300B4",1
"A310",2
"A318",3
"A319",4
"A320",5
"A321",6
"A330-200",7
"A330-300",8
"A340-200",9
"A340-300",10
"A340-500",11
"A340-600",12
"A380",13
"An-12",14
"ATR-42",15
"ATR-72",16
"BAE 146-200",17
"BAE 146-300",18
"BAE-125",19
"Beechcraft 1900",20
"707-320",21
"Boeing 717",22
"727-200",23
"737-200",24
"737-300",25
"737-400",26
"737-500",27
"737-600",28
"737-700",29
"737-800",30
"737-900",31
"747-100",32
"747-200",33
"747-300",34
"747-400",35
"757-200",36
"757-300",37
"767-200",38
"767-300",39
"767-400",40
"777-200",41
"777-300",42
"C-130",43
"C-47",44
"Cessna 172",45
"Cessna 208",46
"Cessna 525",47
"Cessna 560",48
"Challenger 600",49
"CRJ-200",50
"CRJ-700",51
"CRJ-900",52
"DHC-8-100",53
"DHC-8-300",54
"DC-10",55
"DC-3",56
"DC-6",57
"DC-8",58
"DC-9-30",59
"DH-82",60
"DHC-1",61
"DHC-6",62
"Dornier 328",63
"DR-400",64
"EMB-120",65
"E-170",66
"E-190",67
"E-195",68
"ERJ 135",69
"ERJ 145",70
"Embraer Legacy 600",71
"Eurofighter Typhoon",72
"F/A-18",73
"F-16A/B",74
"Falcon 2000",75
"Falcon 900",76
"Fokker 100",77
"Fokker 50",78
"Fokker 70",79
"Global Express",80
"Gulfstream IV",81
"Gulfstream V",82
"Hawk T1",83
"Il-76",84
"Model B200",85
"L-1011",86
"MD-11",87
"MD-80",88
"MD-87",89
"MD-90",90
"Metroliner",91
"PA-28",92
"Saab 2000",93
"Saab 340",94
"Spitfire",95
"SR-20",96
"Tornado",97
"Tu-134",98
"Tu-154",99
"Yak-42",100
